bucket,confidence,fileId,guessedBrand,model,normalizedModel,oldBrand,previewUrl,reason,reviewStatus,rule,title,viewerUrl
58xxx,low,1qUNF-uKfo4-BcqNuLf0sAgPxig6sA5ll,VOREL,58550,58550,DO ROZPOZNANIA,https://drive.google.com/file/d/1qUNF-uKfo4-BcqNuLf0sAgPxig6sA5ll/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_58550.pdf,https://drive.google.com/file/d/1qUNF-uKfo4-BcqNuLf0sAgPxig6sA5ll/view?usp=drivesdk
58xxx,low,1PGm9nPRRjXyipT-KN2_F3WQrwQDUxvLB,VOREL,58643,58643,DO ROZPOZNANIA,https://drive.google.com/file/d/1PGm9nPRRjXyipT-KN2_F3WQrwQDUxvLB/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_58643.pdf,https://drive.google.com/file/d/1PGm9nPRRjXyipT-KN2_F3WQrwQDUxvLB/view?usp=drivesdk
58xxx,low,1dwqu1515cLCuUrCIL0TPdtKwjB9LX-It,VOREL,58661,58661,DO ROZPOZNANIA,https://drive.google.com/file/d/1dwqu1515cLCuUrCIL0TPdtKwjB9LX-It/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_58661.pdf,https://drive.google.com/file/d/1dwqu1515cLCuUrCIL0TPdtKwjB9LX-It/view?usp=drivesdk
58xxx,low,1M3nXDc65ZuZr-5CAhJU8fmenwtpuF-NY,VOREL,58687,58687,DO ROZPOZNANIA,https://drive.google.com/file/d/1M3nXDc65ZuZr-5CAhJU8fmenwtpuF-NY/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_58687.pdf,https://drive.google.com/file/d/1M3nXDc65ZuZr-5CAhJU8fmenwtpuF-NY/view?usp=drivesdk
58xxx,low,1KAmL4SD6Ig8B-MtkWiX2eJ3w8ox-1WCG,VOREL,58689,58689,DO ROZPOZNANIA,https://drive.google.com/file/d/1KAmL4SD6Ig8B-MtkWiX2eJ3w8ox-1WCG/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_58689.pdf,https://drive.google.com/file/d/1KAmL4SD6Ig8B-MtkWiX2eJ3w8ox-1WCG/view?usp=drivesdk
58xxx,low,17tYf5Tdd0Q5Awd0pQyqTwTs6fKzfRrqI,VOREL,58690,58690,DO ROZPOZNANIA,https://drive.google.com/file/d/17tYf5Tdd0Q5Awd0pQyqTwTs6fKzfRrqI/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_58690.pdf,https://drive.google.com/file/d/17tYf5Tdd0Q5Awd0pQyqTwTs6fKzfRrqI/view?usp=drivesdk
58xxx,low,1I-6Te_me8dQc1UbV2iL89vtzsIoCQZjT,VOREL,58691,58691,DO ROZPOZNANIA,https://drive.google.com/file/d/1I-6Te_me8dQc1UbV2iL89vtzsIoCQZjT/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_58691.pdf,https://drive.google.com/file/d/1I-6Te_me8dQc1UbV2iL89vtzsIoCQZjT/view?usp=drivesdk
58xxx,low,10Jj2yy8sH8rRUwSpbS6gkYr36wbPgnp3,VOREL,58700,58700,DO ROZPOZNANIA,https://drive.google.com/file/d/10Jj2yy8sH8rRUwSpbS6gkYr36wbPgnp3/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,Czesci_zamienne_58700.pdf,https://drive.google.com/file/d/10Jj2yy8sH8rRUwSpbS6gkYr36wbPgnp3/view?usp=drivesdk
70xxx,low,1O2A--OzQc5J1DdNZqxS_i-hiLiERGotq,LUND,70280,70280,DO ROZPOZNANIA,https://drive.google.com/file/d/1O2A--OzQc5J1DdNZqxS_i-hiLiERGotq/preview,Zakres 70–72xxx zgadnięty jako LUND po sąsiedztwie 73xxx/AGD; wymaga ręcznego potwierdzenia.,guessed_needs_confirmation,range_70_72_lund_low,Czesci_zamienne_70280.pdf,https://drive.google.com/file/d/1O2A--OzQc5J1DdNZqxS_i-hiLiERGotq/view?usp=drivesdk
71xxx,low,1sNav0wPmLS78pFC2ZFNqGmgqSmFgiPn_,LUND,71500,71500,DO ROZPOZNANIA,https://drive.google.com/file/d/1sNav0wPmLS78pFC2ZFNqGmgqSmFgiPn_/preview,Zakres 70–72xxx zgadnięty jako LUND po sąsiedztwie 73xxx/AGD; wymaga ręcznego potwierdzenia.,guessed_needs_confirmation,range_70_72_lund_low,Czesci_zamienne_71500.pdf,https://drive.google.com/file/d/1sNav0wPmLS78pFC2ZFNqGmgqSmFgiPn_/view?usp=drivesdk
72xxx,low,1etGMUo-snHA2-lPNUsnXcdbcvp_2oHx0,LUND,72928,72928,DO ROZPOZNANIA,https://drive.google.com/file/d/1etGMUo-snHA2-lPNUsnXcdbcvp_2oHx0/preview,Zakres 70–72xxx zgadnięty jako LUND po sąsiedztwie 73xxx/AGD; wymaga ręcznego potwierdzenia.,guessed_needs_confirmation,range_70_72_lund_low,Czesci_zamienne_72928.pdf,https://drive.google.com/file/d/1etGMUo-snHA2-lPNUsnXcdbcvp_2oHx0/view?usp=drivesdk
72xxx,low,11ZL0EDRcOIgF1V5qpozXiVHvb2D4d4kT,LUND,72930,72930,DO ROZPOZNANIA,https://drive.google.com/file/d/11ZL0EDRcOIgF1V5qpozXiVHvb2D4d4kT/preview,Zakres 70–72xxx zgadnięty jako LUND po sąsiedztwie 73xxx/AGD; wymaga ręcznego potwierdzenia.,guessed_needs_confirmation,range_70_72_lund_low,Czesci_zamienne_72930.pdf,https://drive.google.com/file/d/11ZL0EDRcOIgF1V5qpozXiVHvb2D4d4kT/view?usp=drivesdk
